GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
annotationProcessor/annotations,org.corfudb.runtime.object,ICorfuSMR,4,0,0,0,1,0,1,0,1,0
annotationProcessor/annotations,org.corfudb.annotations,ObjectType,38,0,0,0,3,0,4,0,4,0
annotationProcessor/annotations,org.corfudb.annotations,StaticMappingObject,3,0,0,0,1,0,1,0,1,0
annotationProcessor/annotations,org.corfudb.annotations,ConstructorType,38,0,0,0,3,0,4,0,4,0
annotationProcessor/annotations,org.corfudb.annotations,StateSource,38,0,0,0,3,0,4,0,4,0
